App1 - SLLC,App1 - DRAM,App1 - NET,App2 - SLLC,App2 - DRAM,App2 - NET,Nivel de interferencia
Muito baixo,Medio,Muito baixo,Muito alto,Muito baixo,Muito alto,Muito baixo
Muito baixo,Baixo,Muito baixo,Medio,Muito baixo,Muito baixo,Muito baixo
Muito baixo,Medio,Muito baixo,Muito baixo,Muito baixo,Muito alto,Muito baixo
Medio,Medio,Muito baixo,Medio,Medio,Muito baixo,Alto
Medio,Medio,Muito baixo,Muito alto,Muito baixo,Muito alto,Medio
Medio,Baixo,Baixo,Medio,Muito baixo,Muito alto,Baixo
Medio,Medio,Muito baixo,Muito baixo,Muito baixo,Muito alto,Baixo
Muito alto,Muito baixo,Muito alto,Muito alto,Muito baixo,Muito alto,Muito alto
Muito alto,Muito alto,Muito alto,Medio,Muito baixo,Muito baixo,Medio
Muito alto,Baixo,Muito alto,Muito baixo,Muito alto,Muito alto,Baixo
Medio,Muito baixo,Muito alto,Medio,Muito baixo,Muito alto,Medio
Medio,Muito baixo,Muito alto,Muito baixo,Muito baixo,Muito alto,Baixo
Muito alto,Muito baixo,Muito baixo,Muito baixo,Muito baixo,Muito alto,Baixo
Baixo,Muito baixo,Alto,Muito alto,Muito baixo,Muito baixo,Medio
Baixo,Muito baixo,Muito alto,Baixo,Muito baixo,Muito baixo,Baixo
Baixo,Muito alto,Muito alto,Muito baixo,Muito baixo,Muito baixo,Muito baixo
Baixo,Muito alto,Muito alto,Baixo,Muito alto,Muito baixo,Baixo
Baixo,Muito alto,Muito alto,Muito baixo,Medio,Muito baixo,Muito baixo
Baixo,Muito alto,Alto,Medio,Alto,Muito baixo,Medio
Baixo,Muito alto,Alto,Muito alto,Muito alto,Muito alto,Medio
Medio,Muito alto,Muito baixo,Medio,Muito baixo,Muito alto,Baixo
Baixo,Muito alto,Muito alto,Muito baixo,Muito baixo,Muito alto,Baixo
Medio,Muito alto,Muito alto,Baixo,Alto,Muito alto,Medio
Baixo,Alto,Muito alto,Muito baixo,Alto,Muito alto,Baixo
Baixo,Alto,Muito baixo,Medio,Medio,Muito alto,Medio
Muito baixo,Medio,Muito alto,Muito alto,Muito baixo,Muito baixo,Baixo
Muito baixo,Medio,Muito alto,Medio,Muito baixo,Muito baixo,Muito baixo
Muito alto,Medio,Muito baixo,Muito baixo,Muito baixo,Muito baixo,Muito baixo
Baixo,Medio,Muito alto,Baixo,Muito baixo,Muito baixo,Baixo
Muito baixo,Baixo,Muito alto,Muito baixo,Medio,Muito alto,Muito baixo
Muito baixo,Medio,Muito alto,Medio,Baixo,Muito alto,Baixo
Baixo,Baixo,Muito alto,Muito alto,Muito baixo,Muito alto,Baixo
Muito baixo,Medio,Alto,Baixo,Muito baixo,Muito alto,Muito baixo
Muito baixo,Medio,Muito alto,Muito baixo,Muito baixo,Muito alto,Muito baixo
Baixo,Alto,Muito alto,Muito baixo,Medio,Muito alto,Muito baixo
Muito baixo,Medio,Muito alto,Medio,Medio,Muito alto,Baixo
Medio,Medio,Muito alto,Muito alto,Muito baixo,Muito baixo,Medio
Medio,Medio,Muito alto,Medio,Muito baixo,Muito baixo,Baixo
Medio,Medio,Muito alto,Muito baixo,Muito baixo,Muito baixo,Muito baixo
Medio,Alto,Alto,Baixo,Muito alto,Muito baixo,Baixo
Medio,Medio,Muito alto,Muito baixo,Medio,Muito baixo,Baixo
Medio,Medio,Muito alto,Medio,Medio,Muito baixo,Alto
Alto,Medio,Muito alto,Muito alto,Muito baixo,Muito baixo,Medio
Medio,Medio,Muito baixo,Medio,Muito alto,Muito alto,Baixo
Medio,Medio,Muito alto,Muito baixo,Baixo,Muito baixo,Baixo
Medio,Medio,Muito alto,Medio,Medio,Muito alto,Alto
Muito alto,Muito baixo,Medio,Muito alto,Muito baixo,Muito baixo,Muito alto
Muito alto,Muito baixo,Medio,Medio,Muito baixo,Muito baixo,Baixo
Alto,Baixo,Medio,Muito baixo,Muito baixo,Muito baixo,Muito baixo
Muito alto,Muito baixo,Medio,Baixo,Muito alto,Muito baixo,Baixo
Muito alto,Muito baixo,Medio,Muito baixo,Medio,Muito baixo,Muito baixo
Muito alto,Baixo,Medio,Medio,Medio,Baixo,Medio
Muito alto,Muito baixo,Medio,Muito alto,Muito baixo,Muito alto,Muito alto
Muito alto,Muito baixo,Medio,Medio,Muito baixo,Muito alto,Medio
Muito alto,Baixo,Alto,Muito baixo,Muito baixo,Muito alto,Baixo
Muito alto,Muito baixo,Medio,Baixo,Muito alto,Muito alto,Medio
Muito alto,Muito baixo,Medio,Muito baixo,Medio,Muito alto,Baixo
Alto,Muito baixo,Medio,Medio,Medio,Muito baixo,Medio
Muito alto,Muito alto,Medio,Muito alto,Muito alto,Medio,Alto
Muito alto,Muito baixo,Medio,Medio,Muito baixo,Medio,Medio
Muito baixo,Baixo,Medio,Muito baixo,Muito baixo,Medio,Muito baixo
Muito alto,Muito baixo,Medio,Baixo,Muito alto,Medio,Medio
Muito alto,Muito baixo,Medio,Muito baixo,Medio,Medio,Muito baixo
Muito alto,Muito baixo,Medio,Medio,Medio,Medio,Medio
Medio,Muito alto,Medio,Alto,Muito baixo,Muito baixo,Baixo
Baixo,Muito baixo,Medio,Medio,Muito baixo,Baixo,Baixo
Medio,Muito baixo,Medio,Muito baixo,Muito baixo,Muito baixo,Muito baixo
Medio,Muito baixo,Medio,Baixo,Muito alto,Muito baixo,Muito baixo
Medio,Muito baixo,Medio,Muito baixo,Medio,Muito baixo,Muito baixo
Alto,Muito baixo,Medio,Medio,Medio,Muito alto,Baixo
Medio,Muito baixo,Medio,Muito alto,Muito baixo,Muito alto,Medio
Medio,Muito baixo,Medio,Medio,Muito baixo,Muito alto,Medio
Alto,Muito baixo,Medio,Baixo,Muito baixo,Muito alto,Muito baixo
Medio,Muito baixo,Medio,Baixo,Muito alto,Muito alto,Baixo
Medio,Muito baixo,Medio,Muito baixo,Baixo,Muito baixo,Muito baixo
Medio,Muito baixo,Medio,Medio,Baixo,Alto,Baixo
Baixo,Muito baixo,Medio,Medio,Baixo,Medio,Baixo
Medio,Muito baixo,Alto,Muito baixo,Baixo,Medio,Muito baixo
Medio,Muito baixo,Baixo,Baixo,Muito alto,Alto,Muito baixo
Medio,Baixo,Alto,Muito baixo,Medio,Medio,Muito baixo
Medio,Muito baixo,Medio,Medio,Medio,Medio,Baixo
Muito baixo,Muito baixo,Medio,Muito alto,Muito baixo,Muito baixo,Muito baixo
Muito baixo,Muito baixo,Medio,Medio,Muito baixo,Muito baixo,Muito baixo
Muito baixo,Muito baixo,Medio,Muito baixo,Muito baixo,Muito baixo,Muito baixo
Muito baixo,Muito alto,Medio,Baixo,Alto,Muito baixo,Muito baixo
Muito baixo,Muito baixo,Medio,Muito baixo,Medio,Muito baixo,Muito baixo
Muito baixo,Muito baixo,Baixo,Medio,Medio,Baixo,Muito baixo
Muito baixo,Muito baixo,Medio,Muito alto,Muito baixo,Muito alto,Baixo
Muito baixo,Muito baixo,Medio,Medio,Muito baixo,Muito alto,Baixo
Muito baixo,Muito baixo,Medio,Muito baixo,Muito baixo,Muito alto,Baixo
Muito baixo,Muito alto,Medio,Medio,Muito alto,Muito alto,Baixo
Muito baixo,Baixo,Medio,Baixo,Medio,Muito alto,Muito baixo
Muito alto,Muito baixo,Medio,Medio,Medio,Alto,Baixo
Baixo,Baixo,Medio,Muito baixo,Muito baixo,Medio,Muito baixo
Muito baixo,Muito baixo,Medio,Baixo,Muito baixo,Baixo,Muito baixo
Muito baixo,Muito baixo,Medio,Muito baixo,Medio,Medio,Muito baixo
Muito baixo,Muito baixo,Medio,Medio,Medio,Medio,Muito baixo
Baixo,Alto,Medio,Muito alto,Baixo,Muito baixo,Baixo
Medio,Muito alto,Medio,Medio,Muito baixo,Baixo,Muito baixo
Baixo,Muito alto,Medio,Muito baixo,Muito baixo,Muito baixo,Muito baixo
Baixo,Muito alto,Medio,Baixo,Muito alto,Muito baixo,Baixo
Baixo,Muito alto,Medio,Muito baixo,Medio,Muito baixo,Muito baixo
Baixo,Muito baixo,Medio,Medio,Alto,Muito baixo,Baixo
Baixo,Alto,Baixo,Muito alto,Muito baixo,Muito alto,Medio
Baixo,Muito alto,Medio,Medio,Muito baixo,Muito alto,Baixo
Baixo,Muito baixo,Medio,Muito baixo,Baixo,Muito alto,Baixo
Medio,Muito alto,Medio,Baixo,Muito alto,Muito baixo,Baixo
Baixo,Muito alto,Medio,Muito baixo,Medio,Muito alto,Baixo
Baixo,Muito alto,Medio,Medio,Medio,Muito alto,Baixo
Muito baixo,Muito alto,Medio,Baixo,Muito baixo,Medio,Baixo
Baixo,Muito alto,Medio,Muito baixo,Medio,Medio,Muito baixo
Medio,Muito alto,Medio,Baixo,Medio,Medio,Baixo
Muito baixo,Baixo,Medio,Alto,Muito baixo,Muito baixo,Muito baixo
Baixo,Alto,Medio,Medio,Muito baixo,Muito baixo,Muito baixo
Baixo,Medio,Medio,Muito baixo,Muito baixo,Baixo,Muito baixo
Muito baixo,Medio,Medio,Baixo,Muito alto,Muito baixo,Muito baixo
Muito baixo,Medio,Medio,Muito baixo,Medio,Muito baixo,Muito baixo
Baixo,Medio,Alto,Medio,Medio,Muito baixo,Baixo
Baixo,Medio,Medio,Muito alto,Muito baixo,Alto,Baixo
Muito baixo,Medio,Medio,Medio,Muito baixo,Muito alto,Muito baixo
Muito baixo,Medio,Medio,Muito baixo,Muito baixo,Muito alto,Muito baixo
Muito baixo,Medio,Baixo,Muito baixo,Muito alto,Muito alto,Baixo
Baixo,Medio,Medio,Muito baixo,Medio,Alto,Muito baixo
Muito baixo,Medio,Medio,Alto,Medio,Alto,Baixo
Baixo,Medio,Medio,Baixo,Medio,Medio,Muito baixo
Muito baixo,Alto,Medio,Medio,Medio,Baixo,Baixo
Medio,Medio,Medio,Alto,Baixo,Muito baixo,Medio
Medio,Medio,Alto,Medio,Muito baixo,Baixo,Baixo
Medio,Alto,Medio,Muito baixo,Baixo,Muito baixo,Muito baixo
Medio,Baixo,Alto,Baixo,Muito alto,Muito baixo,Baixo
Alto,Medio,Medio,Muito baixo,Baixo,Muito baixo,Muito baixo
Medio,Medio,Medio,Medio,Medio,Muito baixo,Medio
Medio,Medio,Medio,Muito alto,Muito baixo,Muito alto,Medio
Medio,Medio,Medio,Medio,Muito baixo,Muito alto,Baixo
Baixo,Medio,Medio,Baixo,Muito baixo,Muito alto,Baixo
Medio,Medio,Medio,Baixo,Muito alto,Muito alto,Medio
Alto,Medio,Baixo,Muito baixo,Medio,Muito alto,Baixo
Medio,Medio,Baixo,Medio,Medio,Alto,Alto
Medio,Baixo,Medio,Medio,Medio,Baixo,Medio
Muito baixo,Baixo,Baixo,Muito alto,Muito baixo,Baixo,Baixo
Muito baixo,Muito baixo,Muito baixo,Muito baixo,Muito baixo,Muito baixo,Muito baixo
Muito alto,Muito baixo,Muito alto,Muito baixo,Muito baixo,Muito baixo,Muito baixo
Muito baixo,Muito baixo,Muito baixo,Muito baixo,Muito baixo,Muito baixo,Muito baixo
Muito baixo,Muito baixo,Muito baixo,Muito baixo,Muito baixo,Muito baixo,Muito baixo
Muito baixo,Muito alto,Muito alto,Muito baixo,Muito baixo,Muito baixo,Muito baixo
Muito baixo,Baixo,Baixo,Muito baixo,Muito baixo,Muito baixo,Muito baixo
Muito baixo,Muito baixo,Muito baixo,Muito baixo,Muito baixo,Muito baixo,Muito baixo
Muito alto,Muito baixo,Muito baixo,Muito baixo,Muito baixo,Muito alto,Muito baixo
Muito alto,Baixo,Medio,Muito baixo,Muito baixo,Muito baixo,Muito baixo
Muito baixo,Baixo,Baixo,Muito baixo,Muito baixo,Muito baixo,Muito baixo
Muito baixo,Baixo,Baixo,Baixo,Baixo,Muito baixo,Muito baixo
Muito baixo,Baixo,Baixo,Muito baixo,Muito baixo,Muito baixo,Muito baixo
Muito baixo,Muito baixo,Baixo,Muito baixo,Muito baixo,Muito alto,Muito baixo
Muito baixo,Muito baixo,Muito baixo,Muito baixo,Muito baixo,Muito baixo,Muito baixo
Muito alto,Muito baixo,Muito alto,Muito baixo,Muito baixo,Muito baixo,Muito baixo
Muito baixo,Muito baixo,Muito baixo,Muito baixo,Muito baixo,Muito baixo,Muito baixo
Baixo,Muito baixo,Muito baixo,Baixo,Muito baixo,Muito baixo,Muito baixo
Muito baixo,Muito baixo,Muito baixo,Muito baixo,Muito baixo,Muito baixo,Muito baixo
Muito baixo,Muito baixo,Baixo,Muito baixo,Muito baixo,Baixo,Muito baixo
Muito baixo,Muito baixo,Muito baixo,Muito baixo,Muito alto,Baixo,Muito baixo
Muito baixo,Muito baixo,Medio,Muito baixo,Muito baixo,Medio,Muito baixo
Muito baixo,Muito baixo,Medio,Muito baixo,Baixo,Baixo,Muito baixo
Muito baixo,Muito baixo,Medio,Muito baixo,Muito baixo,Muito baixo,Muito baixo
Muito baixo,Muito baixo,Medio,Muito baixo,Muito baixo,Muito baixo,Muito baixo
Muito baixo,Muito baixo,Medio,Muito baixo,Muito baixo,Muito baixo,Muito baixo
Muito baixo,Muito baixo,Baixo,Muito baixo,Muito baixo,Muito alto,Muito baixo
Muito alto,Muito baixo,Medio,Baixo,Muito baixo,Muito baixo,Muito baixo
Muito baixo,Muito baixo,Medio,Muito baixo,Muito baixo,Medio,Muito baixo
Muito baixo,Muito baixo,Medio,Muito baixo,Medio,Medio,Muito baixo
Muito baixo,Muito baixo,Medio,Muito baixo,Muito baixo,Muito baixo,Muito baixo
Muito baixo,Baixo,Baixo,Muito baixo,Muito baixo,Muito baixo,Muito baixo
Muito baixo,Muito baixo,Medio,Muito baixo,Muito baixo,Muito baixo,Muito baixo
Muito alto,Muito baixo,Alto,Muito baixo,Muito baixo,Muito baixo,Muito baixo
Muito baixo,Baixo,Medio,Muito alto,Muito baixo,Muito baixo,Muito baixo
Muito baixo,Muito baixo,Medio,Muito baixo,Muito baixo,Medio,Muito baixo
Muito baixo,Muito baixo,Muito baixo,Baixo,Muito alto,Muito baixo,Muito baixo
Muito baixo,Baixo,Muito baixo,Muito baixo,Baixo,Muito baixo,Muito baixo
Muito baixo,Muito baixo,Muito baixo,Muito baixo,Muito baixo,Muito baixo,Muito baixo
Muito baixo,Muito baixo,Muito baixo,Muito baixo,Muito baixo,Muito baixo,Muito baixo
Muito baixo,Muito baixo,Muito baixo,Muito baixo,Muito baixo,Muito baixo,Muito baixo
Muito baixo,Muito baixo,Muito baixo,Muito baixo,Muito baixo,Muito baixo,Muito baixo
Muito baixo,Muito baixo,Muito alto,Muito baixo,Muito baixo,Baixo,Muito baixo
Muito baixo,Muito baixo,Muito baixo,Muito baixo,Muito baixo,Medio,Muito baixo
Muito baixo,Muito baixo,Muito baixo,Muito baixo,Muito baixo,Medio,Muito baixo
Muito baixo,Muito baixo,Muito baixo,Muito baixo,Muito baixo,Muito baixo,Muito baixo
Muito baixo,Muito baixo,Muito baixo,Muito baixo,Baixo,Baixo,Muito baixo
Muito baixo,Muito baixo,Muito baixo,Muito baixo,Muito baixo,Muito baixo,Muito baixo
Muito baixo,Muito baixo,Muito baixo,Muito baixo,Muito baixo,Muito baixo,Muito baixo
Muito baixo,Muito baixo,Muito baixo,Muito baixo,Muito baixo,Muito baixo,Muito baixo
Baixo,Muito baixo,Muito baixo,Baixo,Muito baixo,Muito baixo,Muito baixo
Muito baixo,Muito baixo,Muito baixo,Muito baixo,Muito baixo,Muito baixo,Muito baixo
Muito baixo,Muito baixo,Muito baixo,Muito baixo,Muito baixo,Medio,Muito baixo
Muito baixo,Muito baixo,Muito baixo,Muito baixo,Muito baixo,Medio,Muito baixo
Muito baixo,Muito baixo,Muito baixo,Muito baixo,Muito baixo,Muito baixo,Muito baixo
